SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,SCOTTISH_TRANSFER,IFA_FLOW,IFA2_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,NEMO_FLOW,NSL_FLOW,ELECLINK_FLOW,VIKING_FLOW
1/1/23,1,21043,24680,18995,2815,6545,0,15005,0,1161,1194,609,903,-896,-451,-529,253,235,998,0
1/1/23,2,21756,25289,19730,2793,6545,0,15005,0,1056,1191,596,904,-897,-451,-529,252,157,998,0
1/1/23,3,21348,25269,19327,2773,6545,0,15005,0,1212,969,516,983,-910,-451,-529,253,-219,999,0
1/1/23,4,20586,24574,18589,2753,6545,0,15005,0,1237,667,510,989,-911,-413,-529,254,-298,999,0
1/1/23,5,19781,24135,17806,2712,6545,0,15005,0,1233,387,600,903,-912,-401,-529,253,-679,998,0
1/1/23,6,19077,23505,17105,2671,6545,0,15005,0,1234,-204,609,895,-911,-401,-530,252,-752,999,0
1/1/23,7,18511,22969,16459,2615,6545,0,15005,0,1224,-533,609,895,-697,-401,-530,253,-1006,994,0
1/1/23,8,17803,22278,15691,2558,6545,0,15005,0,1221,-700,609,894,-680,-401,-529,252,-1044,993,0
1/1/23,9,17363,21875,15221,2511,6545,0,15005,0,1124,-668,566,811,-814,-401,-529,253,-1044,933,0
1/1/23,10,17096,21654,14936,2464,6545,0,15005,0,1163,-710,567,804,-820,-401,-530,251,-1044,928,0
1/1/23,11,17091,22058,14910,2380,6545,0,15005,0,1208,-728,912,891,-900,-401,-530,-284,-1044,963,0
1/1/23,12,17231,22240,15034,2295,6545,0,15005,0,1203,-646,945,900,-908,-401,-529,-324,-1044,966,0
1/1/23,13,17748,22680,15545,2226,6545,0,15005,0,1196,-556,998,979,-880,-405,-530,-277,-1044,996,0
1/1/23,14,18115,23028,15894,2156,6545,0,15005,0,1136,-604,1001,986,-879,-450,-530,-274,-1044,998,0
1/1/23,15,18743,23244,16449,2077,6545,0,15005,0,630,-606,1006,991,-839,-451,-530,-407,-1044,998,0
1/1/23,16,19085,23490,16805,1997,6545,0,15005,0,552,-469,1007,991,-836,-451,-529,-417,-1020,998,0
1/1/23,17,19675,23428,17346,1953,6545,0,15005,0,637,-669,1001,991,-483,-451,-530,-416,-636,998,0
1/1/23,18,20491,23746,18152,1909,6545,104,15005,0,288,-768,1001,991,-416,-451,-530,-415,-555,998,0
1/1/23,19,21442,23464,19046,1888,6545,473,15005,0,287,-357,1006,991,140,-446,-511,47,-178,998,0
1/1/23,20,22152,23637,19671,1867,6545,797,15005,0,40,-237,1006,992,170,-367,-380,93,-98,998,0
1/1/23,21,23089,24401,20476,1851,6545,1066,15005,0,58,-498,1005,992,926,-426,-228,926,276,998,0
1/1/23,22,23828,24992,21122,1835,6545,1258,15005,0,12,-548,1005,991,1002,-336,-216,999,354,998,0
1/1/23,23,24677,26040,21847,1839,6545,1318,15005,0,6,-651,1005,991,1004,-425,-332,999,725,997,0
1/1/23,24,25591,26854,22660,1843,6545,1275,15005,0,6,-651,1005,991,1003,-419,-238,999,796,997,0
1/1/23,25,26670,27966,23654,1803,6545,1145,15005,0,4,-688,1005,991,1003,-392,-300,999,1056,997,0
1/1/23,26,27296,28553,24203,1762,6545,1019,15005,0,6,-702,1005,992,1003,-422,-229,999,1095,997,0
1/1/23,27,27541,28815,24417,1693,6545,878,15005,0,6,-656,1004,991,1003,-399,-269,999,1095,997,0
1/1/23,28,27670,28993,24548,1624,6545,638,15005,0,4,-492,1005,992,1004,-426,-293,999,1095,997,0
1/1/23,29,27881,29217,24760,1534,6545,470,15005,0,6,-534,1005,991,1003,-390,-340,999,1095,998,0
1/1/23,30,28315,29636,25232,1444,6545,257,15005,0,3,-938,1005,992,1002,-351,-367,999,1095,998,0
1/1/23,31,28818,30336,25684,1377,6545,87,15005,0,2,-892,1005,992,1004,-413,-503,999,1095,998,0
1/1/23,32,29486,30969,26320,1310,6545,8,15005,0,9,-761,1005,992,1002,-357,-517,999,1095,998,0
1/1/23,33,30837,32160,27525,1234,6545,0,15005,0,6,-792,1005,992,1003,-311,-406,1017,1095,998,0
1/1/23,34,31927,33230,28510,1158,6545,0,15005,0,5,-620,1005,992,1003,-310,-388,1019,1095,998,0
1/1/23,35,32628,34003,29230,1119,6545,0,15005,0,0,-411,1005,991,875,-334,-441,1005,1095,998,0
1/1/23,36,32478,33859,29154,1079,6545,0,15005,0,1,-351,1005,992,869,-330,-450,1004,1095,999,0
1/1/23,37,31740,33007,28532,1044,6545,0,15005,0,5,-93,1005,992,994,-358,-304,1018,1095,998,0
1/1/23,38,31062,32309,27976,1009,6545,0,15005,0,5,50,1005,991,999,-379,-263,1019,1095,999,0
1/1/23,39,30330,31475,27370,996,6545,0,15005,0,9,301,1005,991,1003,-248,-288,1019,1095,998,0
1/1/23,40,29100,30275,26233,982,6545,0,15005,0,6,-3,1005,991,1003,-303,-266,1019,1095,998,0
1/1/23,41,28532,29486,25700,948,6545,0,15005,0,7,211,1005,991,998,-224,-123,1019,1095,999,0
1/1/23,42,28164,29156,25414,914,6545,0,15005,0,5,261,1005,992,998,-261,-126,1019,1095,998,0
1/1/23,43,27163,27978,24521,895,6545,0,15005,0,6,195,1005,991,1002,-191,-18,1001,1095,999,0
1/1/23,44,26018,26756,23496,875,6545,0,15005,0,5,386,1005,991,1002,-86,-47,999,1095,999,0
1/1/23,45,25146,25754,22721,863,6545,0,15005,0,8,653,1005,991,1003,18,23,999,1095,999,0
1/1/23,46,24139,24790,21736,850,6545,0,15005,0,12,751,1005,992,1003,12,-39,999,1104,999,0
1/1/23,47,22885,23783,20585,917,6545,0,15005,0,128,775,1005,992,1003,-55,-115,999,1237,999,0
1/1/23,48,21971,23151,19733,983,6545,0,15006,0,361,629,1005,991,1004,-204,-15,999,1257,999,0
1/2/23,1,21770,22893,19595,999,6545,0,15006,0,357,802,1005,992,1003,-166,0,999,1257,999,0
1/2/23,2,22351,23300,20205,1014,6545,0,15006,0,322,1614,1005,992,1003,-27,0,999,1257,999,0
1/2/23,3,21904,22889,19799,1020,6545,0,15006,0,385,1865,1005,992,1003,18,0,999,1257,999,0
1/2/23,4,21285,22506,19339,1025,6545,0,15006,0,564,1602,1005,991,1003,-57,0,999,1257,998,0
1/2/23,5,20818,22093,19009,1046,6545,0,15006,0,652,1192,1005,992,1002,-23,0,999,1257,999,0
1/2/23,6,20379,22048,18584,1066,6545,0,15006,0,1035,1158,1005,992,1003,-34,0,999,1263,998,0
1/2/23,7,19895,21647,18104,1130,6545,0,15006,0,1083,797,1005,991,1003,-69,0,999,1361,998,0
1/2/23,8,19426,21230,17642,1194,6545,0,15006,0,1114,398,1005,991,1003,-90,0,999,1358,999,0
1/2/23,9,19180,20954,17410,1193,6545,0,15006,0,932,210,993,970,1003,-242,0,964,1055,999,0
1/2/23,10,19055,20838,17262,1191,6545,0,15006,0,851,255,988,961,989,-332,0,961,992,999,0
1/2/23,11,19251,20612,17498,1182,6545,0,15006,0,545,657,555,561,563,-216,0,843,722,1000,0
1/2/23,12,19699,20843,17887,1173,6545,0,15006,0,306,720,518,520,558,-238,0,834,669,999,0
1/2/23,13,20794,21653,18869,1118,6545,0,15006,0,146,727,358,340,483,-113,0,670,475,999,0
1/2/23,14,21628,22437,19626,1062,6545,0,15006,0,58,752,341,321,479,-151,0,658,423,1000,0
1/2/23,15,22774,23718,20705,1037,6545,0,15006,0,11,705,165,234,816,-296,-37,872,51,983,0
1/2/23,16,23473,24429,21337,1012,6545,0,15006,0,47,1076,149,226,871,-296,-13,888,18,982,0
1/2/23,17,24661,25797,22382,989,6545,1,15006,0,8,1181,70,266,568,-416,-112,652,380,985,0
1/2/23,18,25655,26758,23320,965,6545,158,15006,0,4,1300,64,272,561,-451,-48,634,457,986,0
1/2/23,19,26657,27845,24176,967,6545,736,15006,0,6,981,138,394,935,-451,-131,663,827,999,0
1/2/23,20,27194,28319,24604,968,6545,1472,15006,0,6,919,149,411,1004,-451,-68,665,902,1000,0
1/2/23,21,27535,28762,24850,982,6545,2284,15006,0,6,699,468,760,1003,-451,-170,976,1215,999,0
1/2/23,22,27388,28677,24649,996,6545,2953,15006,0,5,554,499,789,1003,-451,-233,999,1267,1000,0
1/2/23,23,27278,28605,24538,1023,6545,3325,15006,0,6,441,666,540,859,-451,-270,556,1362,1000,0
1/2/23,24,27275,28493,24490,1049,6545,3547,15006,0,6,325,680,520,852,-451,-161,524,1375,1000,0
1/2/23,25,27529,28700,24735,1046,6545,3599,15006,0,5,455,546,749,997,-451,-115,966,1364,999,0
1/2/23,26,27990,29125,25182,1043,6545,3509,15006,0,2,426,534,767,1003,-451,-82,999,1364,999,0
1/2/23,27,27980,29047,25185,1027,6545,3240,15006,0,2,683,467,510,892,-451,-14,775,1374,1000,0
1/2/23,28,28076,29104,25305,1011,6545,2888,15006,0,2,748,465,490,888,-426,0,758,1376,1000,0
1/2/23,29,28777,29685,26044,973,6545,2312,15006,0,5,1134,783,793,829,-303,0,760,1372,1000,0
1/2/23,30,29719,30544,26927,934,6545,1483,15006,0,10,990,804,818,825,-212,-3,760,1354,999,0
1/2/23,31,30868,31722,27991,944,6545,664,15006,0,6,933,313,596,881,-168,-80,950,1065,1000,0
1/2/23,32,32294,32962,29381,954,6545,99,15006,0,4,1146,278,582,883,-29,-35,964,1042,1000,0
